timestamp,name,class,level,fcr,teleportTime,killTime,viperQuit,coldImmune
2023-08-29T12:59:37.222Z,sighbertwo,Sorceress,94,143,4891,7515,,
2023-08-29T13:03:14.044Z,sighbertwo,Sorceress,94,143,5703,,,
2023-08-29T13:05:13.876Z,sighberthree,Sorceress,95,139,4765,5032,,
2023-08-29T13:06:50.433Z,sighbertwo,Sorceress,94,143,5235,5328,,
2023-08-29T13:10:25.604Z,sighbertwo,Sorceress,94,143,5797,13438,,
2023-08-29T13:14:08.254Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-29T13:15:28.194Z,sighberthree,Sorceress,95,139,5140,,1,
2023-08-29T13:17:23.834Z,sighbertwo,Sorceress,94,143,5234,5969,,
2023-08-29T13:21:16.226Z,sighbertwo,Sorceress,94,143,5797,28250,,
2023-08-29T13:23:47.764Z,sighberthree,Sorceress,95,139,4781,40703,,
2023-08-29T13:24:36.481Z,sighbertwo,Sorceress,94,143,4860,,,
2023-08-29T13:28:34.110Z,sighbertwo,Sorceress,94,143,5328,,1,
2023-08-29T13:32:04.913Z,sighbertwo,Sorceress,94,143,5766,,1,
2023-08-29T13:35:46.496Z,sighbertwo,Sorceress,94,143,4875,38578,,
2023-08-29T13:37:41.569Z,sighberthree,Sorceress,95,139,4844,10203,,
2023-08-29T13:39:18.618Z,sighbertwo,Sorceress,94,143,4875,11391,,
2023-08-29T13:42:47.626Z,sighbertwo,Sorceress,94,143,5844,,,
2023-08-29T13:43:53.220Z,sighberthree,Sorceress,95,139,4875,,1,
2023-08-29T13:46:14.586Z,sighbertwo,Sorceress,94,143,5297,,,
2023-08-29T13:50:11.161Z,sighbertwo,Sorceress,94,143,5765,8125,,
2023-08-29T13:54:33.648Z,sighbertwo,Sorceress,94,143,5219,,1,
2023-08-29T13:58:18.499Z,sighbertwo,Sorceress,94,143,4906,,,
2023-08-29T14:01:50.597Z,sighbertwo,Sorceress,94,143,4859,,1,
2023-08-29T14:03:17.180Z,sighberthree,Sorceress,95,139,4734,6391,,
2023-08-29T14:05:29.394Z,sighbertwo,Sorceress,94,143,4859,6359,,
2023-08-29T14:08:43.334Z,sighbertwo,Sorceress,94,143,5781,5813,,
2023-08-29T14:12:19.690Z,sighbertwo,Sorceress,94,143,5110,40187,,
2023-08-29T14:16:10.974Z,sighbertwo,Sorceress,94,143,4859,5937,,
2023-08-29T14:20:11.510Z,sighbertwo,Sorceress,94,143,4969,,1,
2023-08-29T14:21:34.113Z,sighberthree,Sorceress,95,139,5734,,1,
2023-08-29T14:23:56.879Z,sighbertwo,Sorceress,94,143,5735,19562,,
2023-08-29T14:27:17.056Z,sighbertwo,Sorceress,94,143,5219,,1,
2023-08-29T14:31:09.225Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-29T14:34:49.849Z,sighberthree,Sorceress,95,139,5063,,1,
2023-08-29T14:34:46.589Z,sighbertwo,Sorceress,94,143,4813,,1,
2023-08-29T14:38:22.040Z,sighbertwo,Sorceress,94,143,4938,27094,,
2023-08-29T14:41:14.667Z,sighberthree,Sorceress,95,139,4719,16719,,
2023-08-29T14:41:57.972Z,sighbertwo,Sorceress,94,143,4797,,1,
2023-08-29T14:45:34.286Z,sighbertwo,Sorceress,94,143,7219,,1,
2023-08-29T14:49:00.680Z,sighberthree,Sorceress,95,139,5219,25313,,
2023-08-29T14:51:57.668Z,sighbertwo,Sorceress,94,143,5719,4563,,
2023-08-29T14:54:34.977Z,sighbertwo,Sorceress,94,143,5718,5875,,
